1508855602;p1p1;1098.36;91202.61;92300.98;16.20;63.31;79.51;0.00;0.00
1508855603;p1p1;1584.09;131886.48;133470.58;23.39;90.49;113.88;0.00;0.00
1508855603;p1p1;1584.09;131888.48;133472.58;23.39;90.52;113.91;0.00;0.00
1508855604;p1p1;1584.09;131888.48;133472.58;23.39;90.52;113.91;0.00;0.00
1508855604;p1p1;1584.09;131907.28;133491.38;23.39;90.76;114.14;0.00;0.00
1508855605;p1p1;1584.09;131900.83;133484.92;23.39;90.76;114.14;0.00;0.00
1508855605;p1p1;1584.09;131911.09;133495.19;23.39;90.86;114.24;0.00;0.00
1508855606;p1p1;1584.09;131911.09;133495.19;23.39;90.86;114.24;0.00;0.00
1508855606;p1p1;1584.09;131911.09;133495.19;23.39;90.86;114.24;0.00;0.00
1508855607;p1p1;1584.09;131902.64;133486.74;23.39;90.82;114.21;0.00;0.00
1508855607;p1p1;1584.09;131904.48;133488.57;23.39;90.89;114.28;0.00;0.00
1508855608;p1p1;1584.09;131902.48;133486.58;23.39;90.86;114.24;0.00;0.00
1508855608;p1p1;1584.09;131904.48;133488.58;23.39;90.89;114.28;0.00;0.00
1508855609;p1p1;1584.09;131907.54;133491.64;23.39;90.92;114.31;0.00;0.00
1508855609;p1p1;1584.09;131902.14;133486.24;23.39;90.92;114.31;0.00;0.00
1508855610;p1p1;1584.09;131902.14;133486.24;23.39;90.92;114.31;0.00;0.00
1508855610;p1p1;1584.09;131895.74;133479.84;23.39;90.86;114.24;0.00;0.00
1508855611;p1p1;1581.90;131895.54;133477.44;23.35;90.86;114.21;0.00;0.00
1508855611;p1p1;1581.90;131887.07;133468.98;23.35;90.82;114.18;0.00;0.00
1508855612;p1p1;1581.90;131889.07;133470.97;23.35;90.86;114.21;0.00;0.00
1508855612;p1p1;1601.13;131925.24;133526.37;23.55;91.06;114.61;0.00;0.00
1508855613;p1p1;1426.05;119618.35;121044.40;20.99;82.81;103.80;0.00;0.00
1508855613;p1p1;1426.05;119609.88;121035.93;20.99;82.77;103.76;0.00;0.00
1508855614;p1p1;1426.05;119611.88;121037.93;20.99;82.81;103.80;0.00;0.00
1508855614;p1p1;1426.05;119613.88;121039.93;20.99;82.84;103.83;0.00;0.00
1508855615;p1p1;1426.05;119613.88;121039.93;20.99;82.84;103.83;0.00;0.00
1508855615;p1p1;1426.05;119613.88;121039.93;20.99;82.84;103.83;0.00;0.00
1508855616;p1p1;1426.05;119611.88;121037.93;20.99;82.81;103.80;0.00;0.00
1508855616;p1p1;1426.05;119609.88;121035.93;20.99;82.77;103.76;0.00;0.00
1508855617;p1p1;1426.05;119611.88;121037.93;20.99;82.81;103.80;0.00;0.00
1508855617;p1p1;1426.05;119613.88;121039.93;20.99;82.84;103.83;0.00;0.00
1508855618;p1p1;1426.05;119611.88;121037.93;20.99;82.81;103.80;0.00;0.00
1508855618;p1p1;1426.05;119611.88;121037.93;20.99;82.81;103.80;0.00;0.00
1508855619;p1p1;1426.05;119606.33;121032.38;20.99;82.74;103.73;0.00;0.00
1508855619;p1p1;1426.05;119608.33;121034.38;20.99;82.77;103.76;0.00;0.00
1508855620;p1p1;1426.05;119606.33;121032.38;20.99;82.74;103.73;0.00;0.00
1508855620;p1p1;1426.05;119596.06;121022.12;20.99;82.64;103.63;0.00;0.00
1508855621;p1p1;1426.05;119598.06;121024.11;20.99;82.67;103.66;0.00;0.00
1508855621;p1p1;1426.05;119581.79;121007.85;20.99;82.47;103.46;0.00;0.00
1508855622;p1p1;1426.05;119579.80;121005.85;20.99;82.44;103.43;0.00;0.00
1508855622;p1p1;1434.85;119611.30;121046.15;21.13;82.57;103.70;0.00;0.00
1508855623;p1p1;1362.39;114109.84;115472.23;20.03;78.78;98.81;0.00;0.00
1508855623;p1p1;1362.39;114093.67;115456.06;20.03;78.61;98.64;0.00;0.00
1508855624;p1p1;1362.39;114093.67;115456.06;20.03;78.61;98.64;0.00;0.00
1508855624;p1p1;1362.39;114093.67;115456.06;20.03;78.61;98.64;0.00;0.00
1508855625;p1p1;1362.39;114091.67;115454.07;20.03;78.58;98.61;0.00;0.00
1508855625;p1p1;1362.39;114093.67;115456.07;20.03;78.61;98.64;0.00;0.00
1508855626;p1p1;1362.39;114095.67;115458.06;20.03;78.65;98.67;0.00;0.00
1508855626;p1p1;1362.39;114095.67;115458.06;20.03;78.65;98.67;0.00;0.00
1508855627;p1p1;1362.39;114097.66;115460.06;20.03;78.68;98.71;0.00;0.00
1508855627;p1p1;1362.39;114095.70;115458.09;20.03;78.61;98.64;0.00;0.00
1508855628;p1p1;1360.99;114093.70;115454.70;19.99;78.58;98.57;0.00;0.00
1508855628;p1p1;1360.99;114089.84;115450.83;19.99;78.55;98.54;0.00;0.00
1508855629;p1p1;1360.99;114091.83;115452.83;19.99;78.58;98.57;0.00;0.00
