1508747719;STATUS;18;6686;12.000000;Playing;Playing;
1508747720065;ERROR_EVENT;underflow;
1508747721;STATUS;18;6686;0.000000;Playing;Playing;
1508747722982;BUFFERING;0.000000%;
1508747722987;BUFFERING;0.000000%;
1508747722987;ERROR_EVENT;underflow;
1508747722988;BUFFERING;1.000000%;
1508747722988;BUFFERING;2.000000%;
1508747722988;BUFFERING;3.000000%;
1508747722988;BUFFERING;4.000000%;
1508747722988;BUFFERING;5.000000%;
1508747722988;BUFFERING;6.000000%;
1508747722988;BUFFERING;7.000000%;
1508747722989;BUFFERING;8.000000%;
1508747722989;BUFFERING;9.000000%;
1508747722989;BUFFERING;10.000000%;
1508747722989;BUFFERING;11.000000%;
1508747722989;BUFFERING;12.000000%;
1508747722989;BUFFERING;13.000000%;
1508747722989;BUFFERING;14.000000%;
1508747722989;BUFFERING;15.000000%;
1508747722989;BUFFERING;16.000000%;
1508747722989;BUFFERING;17.000000%;
1508747722989;BUFFERING;18.000000%;
1508747722989;BUFFERING;20.000000%;
1508747722990;BUFFERING;21.000000%;
1508747722990;BUFFERING;22.000000%;
1508747722990;BUFFERING;23.000000%;
1508747722990;BUFFERING;24.000000%;
1508747722990;BUFFERING;25.000000%;
1508747722990;BUFFERING;26.000000%;
1508747722990;BUFFERING;27.000000%;
1508747722990;BUFFERING;28.000000%;
1508747722990;BUFFERING;29.000000%;
1508747722990;BUFFERING;30.000000%;
1508747722990;BUFFERING;31.000000%;
1508747722991;BUFFERING;32.000000%;
1508747722991;BUFFERING;33.000000%;
1508747722991;BUFFERING;34.000000%;
1508747722991;BUFFERING;35.000000%;
1508747722991;BUFFERING;36.000000%;
1508747722991;BUFFERING;37.000000%;
1508747722992;BUFFERING;39.000000%;
1508747722992;BUFFERING;40.000000%;
1508747722992;BUFFERING;41.000000%;
1508747722992;BUFFERING;42.000000%;
1508747722992;BUFFERING;43.000000%;
1508747722992;BUFFERING;44.000000%;
1508747722992;BUFFERING;45.000000%;
1508747722993;BUFFERING;46.000000%;
1508747722993;BUFFERING;47.000000%;
1508747722993;BUFFERING;48.000000%;
1508747722993;BUFFERING;49.000000%;
1508747722994;BUFFERING;50.000000%;
1508747722994;BUFFERING;51.000000%;
1508747722994;BUFFERING;52.000000%;
1508747722994;BUFFERING;53.000000%;
1508747722994;BUFFERING;54.000000%;
1508747722994;BUFFERING;55.000000%;
1508747722994;BUFFERING;56.000000%;
1508747722994;BUFFERING;58.000000%;
1508747722994;BUFFERING;59.000000%;
1508747722994;BUFFERING;60.000000%;
1508747722995;BUFFERING;61.000000%;
1508747722995;BUFFERING;62.000000%;
1508747722995;BUFFERING;63.000000%;
1508747722995;BUFFERING;64.000000%;
1508747722995;BUFFERING;65.000000%;
1508747722995;BUFFERING;66.000000%;
1508747722995;BUFFERING;67.000000%;
1508747722995;BUFFERING;68.000000%;
1508747722996;BUFFERING;69.000000%;
1508747722996;BUFFERING;70.000000%;
1508747722996;BUFFERING;71.000000%;
1508747722996;BUFFERING;72.000000%;
1508747722996;BUFFERING;73.000000%;
1508747722996;BUFFERING;74.000000%;
1508747722996;BUFFERING;75.000000%;
1508747722996;BUFFERING;77.000000%;
1508747722996;BUFFERING;78.000000%;
1508747722996;BUFFERING;79.000000%;
1508747722997;BUFFERING;80.000000%;
1508747722997;BUFFERING;81.000000%;
1508747722997;BUFFERING;82.000000%;
1508747722997;BUFFERING;83.000000%;
1508747722997;BUFFERING;84.000000%;
1508747722998;BUFFERING;85.000000%;
1508747722998;BUFFERING;86.000000%;
1508747722998;BUFFERING;87.000000%;
1508747722998;BUFFERING;88.000000%;
1508747722998;BUFFERING;89.000000%;
1508747722998;BUFFERING;90.000000%;
1508747722998;BUFFERING;91.000000%;
1508747722998;BUFFERING;92.000000%;
1508747722998;BUFFERING;93.000000%;
1508747722998;BUFFERING;94.000000%;
1508747722999;BUFFERING;96.000000%;
1508747722999;BUFFERING;97.000000%;
1508747722999;BUFFERING;98.000000%;
1508747722999;BUFFERING;99.000000%;
1508747723000;BUFFERING;100.000000%;
1508747723093;WARNING_EVENT;deferring start (10725 us);
1508747723094;WARNING_EVENT;starting late (-11987 us);
1508747723095;ERROR_EVENT;underflow;
1508747723096;WARNING_EVENT;playback too early (-47082): down-sampling;
1508747723;STATUS;18;6693;3.500000;Playing;Playing;
1508747725;STATUS;18;6748;27.500000;Playing;Playing;
1508747726978;ERROR_EVENT;picture is too late to be displayed (missing 3751 ms);
1508747726978;ERROR_EVENT;picture is too late to be displayed (missing 3709 ms);
1508747726979;ERROR_EVENT;picture is too late to be displayed (missing 3668 ms);
1508747726979;ERROR_EVENT;picture is too late to be displayed (missing 3627 ms);
1508747726987;ERROR_EVENT;picture is too late to be displayed (missing 3593 ms);
